homeTileId,workTileId,rows,workers
NEC_CM03_RM03,NEC_CM01_RM03,233,233
NEC_CM03_RM03,NEC_CM01_RP00,57,57
NEC_CM03_RM03,NEC_CM01_RP01,2,2
NEC_CM03_RM03,NEC_CM02_RM01,293,293
NEC_CM03_RM03,NEC_CM02_RM02,1387,1409
NEC_CM03_RM03,NEC_CM02_RM03,1675,1731
NEC_CM03_RM03,NEC_CM02_RP00,48,48
NEC_CM03_RM03,NEC_CM02_RP01,8,8
NEC_CM03_RM03,NEC_CM03_RM01,207,207
NEC_CM03_RM03,NEC_CM03_RM02,67882,74098
NEC_CM03_RM03,NEC_CM03_RM03,51075,64224
NEC_CM03_RM03,NEC_CM03_RP00,11,11
NEC_CM03_RM03,NEC_CM04_RM01,572,573
NEC_CM03_RM03,NEC_CM04_RM02,22839,23771
NEC_CM03_RM03,NEC_CM04_RM03,4957,5117
NEC_CM03_RM03,NEC_CP00_RM01,20,20
NEC_CM03_RM03,NEC_CP00_RP00,321,321
NEC_CM03_RM03,NEC_CP00_RP01,6,6
NEC_CM03_RM03,NEC_CP00_RP02,12,12
NEC_CM03_RM03,NEC_CP01_RP00,17,17
NEC_CM03_RM03,NEC_CP01_RP01,26,26
NEC_CM03_RM03,NEC_CP01_RP02,9,9
NEC_CM03_RM03,NEC_CP02_RP00,4,4
NEC_CM03_RM03,NEC_CP02_RP01,14,14
NEC_CM03_RM03,NEC_CP02_RP02,8,8
NEC_CM03_RM03,NEC_CP02_RP03,1,1
NEC_CM03_RM03,NEC_CP03_RP01,23,23
NEC_CM03_RM03,NEC_CP03_RP02,56,56
NEC_CM03_RM03,NEC_CP03_RP03,2,2
NEC_CM03_RM03,NEC_CP04_RP01,8,8
NEC_CM03_RM03,NEC_CP04_RP03,3,3
NEC_CM03_RP00,NEC_CM01_RM01,5666,5682
NEC_CM03_RP00,NEC_CM01_RM02,59,59
NEC_CM03_RP00,NEC_CM01_RM03,9,9
NEC_CM03_RP00,NEC_CM01_RP00,1044,1045
NEC_CM03_RP00,NEC_CM01_RP01,123,123
NEC_CM03_RP00,NEC_CM02_RM01,8031,8069
NEC_CM03_RP00,NEC_CM02_RM02,52,52
NEC_CM03_RP00,NEC_CM02_RM03,15,15
NEC_CM03_RP00,NEC_CM02_RP00,18959,19534
NEC_CM03_RP00,NEC_CM02_RP01,2390,2396
NEC_CM03_RP00,NEC_CM03_RM01,18011,18264
NEC_CM03_RP00,NEC_CM03_RM02,358,358
NEC_CM03_RP00,NEC_CM03_RM03,6,6
NEC_CM03_RP00,NEC_CM03_RP00,97157,106936
NEC_CM03_RP00,NEC_CM04_RM01,2054,2061
NEC_CM03_RP00,NEC_CM04_RM02,199,199
NEC_CM03_RP00,NEC_CM04_RM03,18,18
NEC_CM03_RP00,NEC_CP00_RM01,110,110
NEC_CM03_RP00,NEC_CP00_RP00,2702,2705
NEC_CM03_RP00,NEC_CP00_RP01,86,86
NEC_CM03_RP00,NEC_CP00_RP02,126,126
NEC_CM03_RP00,NEC_CP01_RP00,162,162
NEC_CM03_RP00,NEC_CP01_RP01,50,50
NEC_CM03_RP00,NEC_CP01_RP02,13,13
NEC_CM03_RP00,NEC_CP02_RP00,7,7
NEC_CM03_RP00,NEC_CP02_RP01,14,14
NEC_CM03_RP00,NEC_CP02_RP02,10,10
NEC_CM03_RP00,NEC_CP02_RP03,5,5
NEC_CM03_RP00,NEC_CP03_RP01,21,21
NEC_CM03_RP00,NEC_CP03_RP02,51,51
NEC_CM03_RP00,NEC_CP03_RP03,3,3
NEC_CM03_RP00,NEC_CP04_RP01,2,2
NEC_CM03_RP00,NEC_CP04_RP03,7,7
NEC_CM04_RM01,NEC_CM01_RM01,4064,4073
NEC_CM04_RM01,NEC_CM01_RM02,40,40
NEC_CM04_RM01,NEC_CM01_RM03,79,79
NEC_CM04_RM01,NEC_CM01_RP00,374,374
NEC_CM04_RM01,NEC_CM01_RP01,32,32
NEC_CM04_RM01,NEC_CM02_RM01,5426,5436
NEC_CM04_RM01,NEC_CM02_RM02,419,419
NEC_CM04_RM01,NEC_CM02_RM03,274,274
NEC_CM04_RM01,NEC_CM02_RP00,3231,3236
NEC_CM04_RM01,NEC_CM02_RP01,435,435
NEC_CM04_RM01,NEC_CM03_RM01,34577,35239
NEC_CM04_RM01,NEC_CM03_RM02,18056,18342
NEC_CM04_RM01,NEC_CM03_RM03,517,518
NEC_CM04_RM01,NEC_CM03_RP00,2106,2113
NEC_CM04_RM01,NEC_CM04_RM01,99127,109698
NEC_CM04_RM01,NEC_CM04_RM02,22685,23611
